school,region,method,old_lat,old_lon,new_lat,new_lon
TEMPANE SENIOR HIGH SCHOOL,UPPER EAST,TOWN_LOOKUP:TEMPANE,5.5950893,-0.277005,10.38,-0.32
KUMBUNGU SENIOR HIGH SCHOOL,NORTHERN,TOWN_LOOKUP:KUMBUNGU,6.6903393,-1.5480316,9.55,-1.15
MAFI-KUMASI SENIOR HIGH/TECH SCHOOL,VOLTA,TOWN_LOOKUP:MAFI-KUMASI,7.142572,-1.6406402,6.35,0.75
BOLE SENIOR HIGH SCHOOL,SAVANNAH,TOWN_LOOKUP:BOLE,5.9668857,-0.9929572,9.0333,-2.75
ULLO SENIOR HIGH SCHOOL,UPPER WEST,TOWN_LOOKUP:ULLO,5.9668857,-0.9929572,10.25,-2.2
HAN SENIOR HIGH SCHOOL,UPPER WEST,TOWN_LOOKUP:JIRAPA,5.5950893,-0.277005,10.55,-2.7
"ST. FRANCIS GIRLS SENIOR HIGH SCHOOL, JIRAPA",UPPER WEST,TOWN_LOOKUP:JIRAPA,6.319177,-2.250302,10.55,-2.7
NEW EDUBIASE SENIOR HIGH SCHOOL,ASHANTI,TOWN_LOOKUP:NEW EDUBIASE,10.6593164,-1.268658,6.1833,-1.5833
MIRIGU COMMUNITY DAY SENIOR HIGH SCHOOL,UPPER EAST,TOWN_LOOKUP:MIRIGU,5.314022,-1.00919,10.88,-1.02
GAMBIGO COMM. DAY SENIOR HIGH SCHOOL,UPPER EAST,TOWN_LOOKUP:GAMBIGO,6.8901817,-1.2489599,10.85,-0.82
BAWKU SENIOR HIGH/TECH SCHOOL,UPPER EAST,TOWN_LOOKUP:BAWKU,5.5950893,-0.277005,11.0667,-0.2333
MAMPONG/AKW SENIOR HIGH/TECH SCHOOL FOR THE DEAF,EASTERN,TOWN_LOOKUP:MAMPONG,,,7.0667,-1.4
NOTRE DAME SEM/ SENIOR HIGH SCHOOL NAVRONGO,UPPER EAST,TOWN_LOOKUP:NAVRONGO,,,10.8833,-1.0833
AWE SENIOR HIGH/TECH SCHOOL,UPPER EAST,TOWN_LOOKUP:NAVRONGO,10.0272463,-0.9731496,10.8833,-1.0833
CHIANA SENIOR HIGH SCHOOL,UPPER EAST,TOWN_LOOKUP:CHIANA,10.6593164,-1.268658,10.65,-1.05
ST. BERNADETTES TECH/VOC. INST.,UPPER EAST,TOWN_LOOKUP:NAVRONGO,,,10.8833,-1.0833
O.L.L. GIRLS SENIOR HIGH SCHOOL,UPPER EAST,TOWN_LOOKUP:NAVRONGO,7.190168,0.337969,10.8833,-1.0833
SIRIGU INTEGRATED SENIOR HIGH SCHOOL,UPPER EAST,TOWN_LOOKUP:SIRIGU,5.0317548,-1.6628839,10.96,-1.08
PAGA SENIOR HIGH SCHOOL,UPPER EAST,TOWN_LOOKUP:PAGA,10.6593164,-1.268658,10.99,-1.11
NABANGO SENIOR HIGH SCHOOL,UPPER EAST,TOWN_LOOKUP:NABANGO,5.8771706,0.3662603,10.75,-0.95
BAWKU SENIOR HIGH SCHOOL,UPPER EAST,TOWN_LOOKUP:BAWKU,5.5950893,-0.277005,11.0667,-0.2333
SAWLA SENIOR HIGH SCHOOL,SAVANNAH,TOWN_LOOKUP:SAWLA,5.8771706,0.3662603,9.05,-2.5
WAPULI COMM. SENIOR HIGH SCHOOL,NORTHERN,TOWN_LOOKUP:WAPULI,5.7065864,-0.1702485,9.55,-0.35
SABOBA E.P. SENIOR HIGH SCHOOL,NORTHERN,TOWN_LOOKUP:SABOBA,5.9668857,-0.9929572,9.7,-0.55
AXIM GIRLS SENIOR HIGH SCHOOL,WESTERN,TOWN_LOOKUP:AXIM,7.190168,0.337969,4.87,-2.24
MEPE ST. KIZITO SENIOR HIGH/TECH SCHOOL,VOLTA,TOWN_LOOKUP:MEPE,6.6556435,-1.1071968,6.25,0.45
ZEBILLA SENIOR HIGH/TECH SCHOOL,UPPER EAST,TOWN_LOOKUP:ZEBILLA,5.7065864,-0.1702485,10.85,-0.28
KUSANABA SENIOR HIGH SCHOOL,UPPER EAST,TOWN_LOOKUP:KUSANABA,6.6903393,-1.5480316,10.82,-0.7
DAGBON STATE SENIOR HIGH/TECH SCHOOL,NORTHERN,TOWN_LOOKUP:YENDI,5.0317548,-1.6628839,9.4427,-0.0072
GUSHEGU SENIOR HIGH SCHOOL,NORTHERN,TOWN_LOOKUP:GUSHEGU,6.6903393,-1.5480316,9.9333,-0.2167
DABOKPA VOC/TECH. INST.,NORTHERN,TOWN_LOOKUP:TAMALE,,,9.4007,-0.8393
"PRESBY SENIOR HIGH SCHOOL, TAMALE",NORTHERN,TOWN_LOOKUP:TAMALE,6.3325025,-0.4784514,9.4007,-0.8393
TAMALE TECHNICAL INSTITUTE,NORTHERN,TOWN_LOOKUP:TAMALE,9.4299903,-0.8669195,9.4007,-0.8393
"GHANA SENIOR HIGH SCHOOL, TAMALE",NORTHERN,TOWN_LOOKUP:TAMALE,5.8771706,0.3662603,9.4007,-0.8393
"BUSINESS SENIOR HIGH SCHOOL, TAMALE",NORTHERN,TOWN_LOOKUP:TAMALE,7.3366184,-2.304839,9.4007,-0.8393
ANBARIYA SENIOR HIGH SCHOOL,NORTHERN,TOWN_LOOKUP:TAMALE,5.8771706,0.3662603,9.4007,-0.8393
TAMALE SENIOR HIGH SCHOOL,NORTHERN,TOWN_LOOKUP:TAMALE,9.4226781,-0.8620235,9.4007,-0.8393
"ST. CHARLES SENIOR HIGH SCHOOL, TAMALE",NORTHERN,TOWN_LOOKUP:TAMALE,7.2316721,-2.1751937,9.4007,-0.8393
TAMALE GIRLS SENIOR HIGH SCHOOL,NORTHERN,TOWN_LOOKUP:TAMALE,9.4226781,-0.8620235,9.4007,-0.8393
VITTING SENIOR HIGH/TECH.,NORTHERN,TOWN_LOOKUP:TAMALE,,,9.4007,-0.8393
ZUARUNGU SENIOR HIGH SCHOOL,UPPER EAST,TOWN_LOOKUP:ZUARUNGU,5.5950893,-0.277005,10.84,-0.79
VAKPO SENIOR HIGH SCHOOL,VOLTA,TOWN_LOOKUP:VAKPO,5.4234565,-0.9611574,6.9833,0.3
VAKPO SENIOR HIGH/TECH SCHOOL,VOLTA,TOWN_LOOKUP:VAKPO,10.9324723,-0.9735882,6.9833,0.3
ANFOEGA SENIOR HIGH SCHOOL,VOLTA,TOWN_LOOKUP:ANFOEGA,10.6593164,-1.268658,6.85,0.3
DADIESO SENIOR HIGH SCHOOL,WESTERN NORTH,TOWN_LOOKUP:DADIESO,5.9668857,-0.9929572,6.05,-2.85
DABOASE SENIOR HIGH/TECH SCHOOL,WESTERN,TOWN_LOOKUP:DABOASE,6.8901817,-1.2489599,5.35,-2.35
MPOHOR SENIOR HIGH SCHOOL,WESTERN,TOWN_LOOKUP:MPOHOR,10.9014082,-0.9013563,5.15,-2.35
"ST. AUGUSTINE'S SENIOR HIGH SCHOOL, BOGOSO",WESTERN,TOWN_LOOKUP:BOGOSO,7.3366184,-2.304839,5.5333,-2.0
